,M2 Supply,Can,Chi,Eur,HK,Jap,Kor,US
2013-01-31,1.266684398878034,1.3919309959355055,1.218568530179145,1.3652417941632993,1.5651691625693458,1.174202635675291,1.6040596474603466,1.6899370229126802
2013-02-28,1.2681473063158906,1.3993016592057934,1.2330977129428593,1.3764086646037617,1.5325715658470656,1.242145688507702,1.6336276131320446,1.7335784272212806
2013-03-31,1.276211432440274,1.3893989920770926,1.1834513149022459,1.4015738769109767,1.4948396963894297,1.3411243674725293,1.6153707633500938,1.7734390256528365
2013-04-30,1.2803825321597826,1.3450358348351628,1.1455427861858887,1.3887475989134845,1.4766393245812774,1.4696508512985587,1.5793171250804405,1.7851824238148262
2013-05-31,1.2851944095173609,1.3811079856068802,1.1817439272335757,1.445428193099977,1.5235915911048337,1.5661528159156204,1.6092119910066771,1.8634332492540246
2013-06-30,1.2915296450333682,1.3286428968003845,1.0784905641982232,1.3706433229104007,1.3816118996236082,1.4455763683739273,1.5075945945315679,1.8377888216113967
2013-07-31,1.2971394719025042,1.371367038680512,1.049912378195541,1.417621617304184,1.4366847310371926,1.5540033265575108,1.5343477977305215,1.9090128013941723
2013-08-31,1.303740690589031,1.3811649864742033,1.0861465521979197,1.438134186088479,1.4652058794714384,1.486956914253995,1.5449407916026303,1.8991789402172798
2013-09-30,1.310003385240351,1.4096812427107783,1.1442625151702353,1.4834886760828163,1.5387647642103328,1.5618559997928068,1.6298557355955157,1.9499713757871178
2013-10-31,1.3237136086662147,1.4420422835997306,1.1318037503283453,1.5060910047652596,1.5426657924000424,1.5536058519592766,1.6522744821156028,1.9842276758492965
2013-11-30,1.3243664764483984,1.4654627448406712,1.1366075360000252,1.526330205661453,1.5629689507899114,1.6370613008946246,1.6277082713556212,2.0510788772403834
2013-12-31,1.332370151852209,1.4692999172555952,1.1141800472006742,1.5212781027652322,1.5507631412347216,1.715621565550256,1.6214224461250555,2.082108135995954
2014-01-31,1.339176902988683,1.5036957729512952,1.0605374891840014,1.5603157696763414,1.4998115807543524,1.6736317858579444,1.5820496602178948,2.076074139317818
2014-02-28,1.3503844665828408,1.5489294620055496,1.084562778911371,1.5949075469060672,1.5007133893620264,1.6082271904317702,1.59195790277718,2.1203934288790034
2014-03-31,1.3550149917787013,1.5703956794236709,1.0579565176279533,1.5732014830317287,1.465930990869786,1.5887775444978207,1.5941970312377989,2.1478900639276315
2014-04-30,1.3613260470064796,1.5915330499050482,1.079008265371166,1.5916029037288082,1.5043041190880797,1.557697076355726,1.6189370488342547,2.1401088722571866
2014-05-31,1.369365992842634,1.6091522557294091,1.055919224863989,1.6221863099442366,1.5132289174827422,1.5633382877789552,1.625940981670773,2.1651709292566528
2014-06-30,1.3755198761969236,1.649597664277188,1.0648825371934558,1.64220674615764,1.5488836728776212,1.6457484277002075,1.6286853196933995,2.240739010707256
2014-07-31,1.3823870780539695,1.6787695052635065,1.1001059417009469,1.6123056413133519,1.6011727252013155,1.662832188112579,1.6586693451383319,2.2359748297875655
2014-08-31,1.385881129703065,1.7016489241195343,1.1643872419103052,1.6090770503930099,1.6728451500448327,1.6757668496402895,1.6816217875038777,2.262172990494042
2014-09-30,1.3899675984137723,1.6679832500308838,1.2127839178617428,1.632899109722781,1.6002771587821272,1.7297729242592603,1.6567738548832383,2.2552988878231597
