Date,Open,High,Low,Close,Adj Close,Volume
2015-05-14,14999.599609,15187.000000,14984.000000,15072.799805,15072.799805,67465820000
2015-05-21,15092.299805,15230.700195,14974.299805,15110.500000,15110.500000,63040000000
2015-05-28,15110.599609,15182.200195,14956.000000,15154.700195,15154.700195,87328420000
2015-06-04,15096.200195,15114.500000,14687.000000,14889.000000,14889.000000,78347190000
2015-06-11,14894.200195,14921.500000,14651.400391,14733.000000,14733.000000,76603600000
2015-06-18,14731.599609,14995.299805,14584.400391,14947.500000,14947.500000,109834320000
2015-06-25,14957.200195,14957.200195,14482.200195,14553.299805,14553.299805,63486130000
2015-07-02,14588.200195,14682.400391,14379.900391,14412.099609,14412.099609,78009260000
2015-07-09,14451.500000,14706.299805,14275.500000,14662.299805,14662.299805,82293770000
2015-07-16,14713.700195,14748.000000,14231.099609,14307.099609,14307.099609,80902660000
2015-07-23,14339.299805,14339.299805,13938.900391,14301.799805,14301.799805,99234660000
2015-07-30,14308.700195,14622.400391,14226.599609,14503.000000,14503.000000,75238580000
2015-08-06,14499.400391,14499.400391,14182.500000,14339.500000,14339.500000,98211670000
2015-08-13,14322.200195,14340.599609,14014.000000,14036.599609,14036.599609,85771960000
2015-08-20,14022.099609,14022.099609,12705.200195,13381.599609,13381.599609,125401710000
2015-08-27,13465.599609,13888.200195,13419.099609,13545.299805,13545.299805,118169020000
2015-09-03,13567.000000,13766.700195,13414.599609,13531.900391,13531.900391,69528070000
2015-09-10,13504.099609,13776.700195,13353.299805,13763.799805,13763.799805,95475150000
2015-09-17,13763.000000,13876.000000,13378.000000,13383.700195,13383.700195,133942130000
2015-09-24,13334.299805,13468.799805,12964.099609,13307.000000,13307.000000,104748720000
2015-10-01,13362.500000,13873.799805,13086.400391,13868.400391,13868.400391,136906520000
2015-10-08,13861.000000,14053.200195,13828.799805,13875.299805,13875.299805,94056500000
2015-10-15,13822.400391,13925.500000,13626.099609,13704.200195,13704.200195,94171180000
2015-10-22,13732.500000,14014.799805,13662.500000,13863.200195,13863.200195,107678430000
2015-10-29,13841.900391,13869.900391,13515.900391,13661.799805,13661.799805,113211600000
2015-11-05,13652.200195,13664.500000,13325.599609,13341.900391,13341.900391,99336420000
2015-11-12,13318.099609,13421.799805,13030.500000,13400.000000,13400.000000,98591620000
2015-11-19,13399.700195,13514.799805,13359.599609,13403.400391,13403.400391,95372470000
2015-11-26,13410.299805,13653.700195,13353.500000,13463.799805,13463.799805,89734310000
2015-12-03,13515.599609,13529.000000,12872.299805,12937.599609,12937.599609,112838690000
2015-12-10,12922.700195,13182.700195,12617.700195,13166.099609,13166.099609,118886930000
2015-12-17,13141.500000,13284.900391,12950.500000,13284.900391,13284.900391,133927570000
2015-12-24,13290.500000,13344.200195,13121.900391,13142.299805,13142.299805,29027170000
2015-12-31,13077.599609,13098.599609,12701.700195,12726.799805,12726.799805,70560140000
2016-01-07,12661.200195,12661.200195,12141.700195,12170.400391,12170.400391,124176430000
2016-01-14,12176.299805,12362.799805,11531.200195,11843.099609,11843.099609,130182190000
2016-01-21,11834.900391,12524.099609,11772.200195,12377.799805,12377.799805,136435190000
2016-01-28,12432.400391,12822.099609,12320.400391,12593.000000,12593.000000,132594270000
2016-02-04,12606.099609,12826.700195,12171.900391,12185.700195,12185.700195,142166040000
2016-02-11,12163.000000,12880.700195,11985.700195,12867.200195,12867.200195,121857230000
2016-02-18,12904.500000,12984.700195,12506.099609,12740.299805,12740.299805,141117480000
2016-02-25,12724.000000,13030.400391,12633.700195,13017.900391,13017.900391,138450270000
2016-03-03,13055.200195,13447.700195,13025.500000,13392.900391,13392.900391,171132880000
2016-03-10,13423.599609,13543.299805,13284.200195,13478.099609,13478.099609,125909560000
2016-03-17,13505.200195,13685.500000,13365.000000,13379.500000,13379.500000,161661070000
2016-03-24,13302.900391,13575.000000,13255.500000,13504.000000,13504.000000,72814550000
2016-03-31,13495.500000,13548.200195,13237.900391,13347.500000,13347.500000,97901120000
2016-04-07,13327.299805,13703.599609,13217.200195,13671.400391,13671.400391,117384590000
2016-04-14,13680.000000,13971.799805,13548.799805,13911.299805,13911.299805,121611810000
2016-04-21,13924.200195,13963.099609,13756.000000,13887.700195,13887.700195,116175730000
2016-04-28,13874.099609,13972.599609,13570.000000,13632.000000,13632.000000,136982180000
2016-05-05,13683.799805,13829.700195,13535.500000,13788.200195,13788.200195,115317460000
2016-05-12,13843.099609,13981.200195,13670.200195,13826.000000,13826.000000,117193840000
2016-05-19,13759.099609,14093.299805,13690.200195,14053.700195,14053.700195,87576690000
2016-05-26,14127.000000,14172.400391,13959.599609,14063.500000,14063.500000,100089370000
2016-06-02,14055.799805,14450.900391,14017.099609,14313.099609,14313.099609,111102880000
2016-06-09,14270.500000,14270.500000,13855.500000,13923.500000,13923.500000,108824620000
2016-06-16,13907.900391,14066.599609,13814.200195,14003.799805,14003.799805,138894440000
2016-06-23,14071.500000,14150.400391,13609.599609,14036.700195,14036.700195,120236120000
2016-06-30,14056.200195,14291.599609,13967.599609,14231.099609,14231.099609,83667790000
2016-07-07,14235.299805,14535.700195,14103.000000,14493.799805,14493.799805,107749010000
2016-07-14,14518.599609,14567.400391,14482.200195,14533.599609,14533.599609,101234340000
2016-07-21,14541.400391,14609.000000,14460.200195,14546.500000,14546.500000,80790780000
2016-07-28,14548.799805,14591.599609,14428.200195,14512.099609,14512.099609,76244910000
2016-08-04,14502.799805,14846.299805,14469.599609,14775.000000,14775.000000,91336140000
2016-08-11,14794.299805,14855.700195,14609.700195,14697.599609,14697.599609,84751450000
2016-08-18,14710.400391,14796.599609,14616.900391,14626.200195,14626.200195,77673220000
2016-08-25,14615.900391,14779.599609,14543.200195,14598.000000,14598.000000,89313560000
2016-09-01,14573.299805,14841.400391,14571.099609,14796.799805,14796.799805,79058020000
2016-09-08,14798.299805,14823.000000,14319.099609,14366.500000,14366.500000,101415170000
2016-09-15,14382.900391,14720.799805,14382.900391,14710.799805,14710.799805,120171390000
2016-09-22,14804.700195,14841.200195,14518.400391,14731.400391,14731.400391,94431970000
2016-09-29,14721.700195,14821.799805,14468.000000,14610.599609,14610.599609,108641390000
2016-10-06,14598.000000,14634.900391,14496.200195,14619.000000,14619.000000,78859510000
2016-10-13,14534.099609,14883.900391,14472.799805,14840.500000,14840.500000,93133560000
2016-10-20,14819.500000,14963.599609,14781.200195,14807.599609,14807.599609,98780720000
2016-10-27,14864.000000,14898.599609,14593.000000,14594.700195,14594.700195,107162780000
2016-11-03,14613.799805,14807.099609,14497.599609,14759.900391,14759.900391,110214370000
2016-11-10,14814.000000,14852.799805,14481.599609,14733.200195,14733.200195,135728080000
2016-11-17,14739.299805,15112.700195,14738.599609,15080.900391,15080.900391,109937240000
2016-11-24,15082.599609,15141.000000,14941.299805,15082.900391,15082.900391,94831450000
2016-12-01,15138.599609,15249.200195,15000.599609,15237.799805,15237.799805,112794940000
2016-12-08,15251.200195,15414.599609,15195.099609,15197.200195,15197.200195,117354960000
2016-12-15,15185.500000,15328.900391,15176.000000,15305.900391,15305.900391,146263960000
2016-12-22,15313.299805,15411.900391,15299.900391,15361.099609,15361.099609,41401240000
2016-12-29,15366.500000,15520.599609,15276.799805,15516.799805,15516.799805,71080490000
2017-01-05,15542.099609,15621.400391,15382.000000,15491.500000,15491.500000,109893180000
2017-01-12,15499.299805,15513.900391,15366.200195,15397.900391,15397.900391,94204760000
2017-01-19,15411.599609,15674.299805,15397.299805,15643.799805,15643.799805,106522900000
